Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,,,Flash,SRAM,,GPTM (32bit),GPTM (16bit),Adv TM (16bit),Bsc TM (16bit),SysTick (24bit),WDG,RTC,USART+UART,I2C,SPI,CAN 2.0B,USB 2.0,I2S,SDIO,Ether-net,TMU,SHR TM,COMP,OP-AMP,CEC,LCD-TFT,LCD,Camera,ETHMAC,Crypto/Hash,IPA,,,12bit ADC Units (CHs),12bit DAC Units,,
GD32E503,GD32E503CCT6,180,256K,96K,up to 37,1,3,1,2,1,2,1,3+0,3,3,2 x FD,FS OTG,2,,,,1,,,,,,,,,,,,3(10),2,LQFP48,Cortex-M33
,GD32E503CET6,180,512K,128K,up to 37,1,9,1,2,1,2,1,3+0,3,3,2 x FD,FS OTG,2,,,,1,,,,,,,,,,,,3(10),2,LQFP48,Cortex-M33
,GD32E503RCT6,180,256K,96K,up to 51,1,3,2,2,1,2,1,3+3,3,3,2 x FD,FS OTG,2,1,,,1,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M33
,GD32E503RET6,180,512K,128K,up to 51,1,9,2,2,1,2,1,3+3,3,3,2 x FD,FS OTG,2,1,,,1,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M33
,GD32E503VCT6,180,256K,96K,up to 80,1,3,2,2,1,2,1,3+3,3,3,2 x FD,FS OTG,2,1,,,1,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M33
,GD32E503VET6,180,512K,128K,up to 80,1,9,2,2,1,2,1,3+3,3,3,2 x FD,FS OTG,2,1,,,1,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M33
,GD32E503ZCT6,180,256K,96K,up to 112,1,3,2,2,1,2,1,3+3,3,3,2 x FD,FS OTG,2,1,,,1,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M33
,GD32E503ZET6,180,512K,128K,up to 112,1,9,2,2,1,2,1,3+3,3,3,2 x FD,FS OTG,2,1,,,1,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M33
GD32E505,GD32E505RBT6,180,128K,80K,up to 51,1,3,1,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,,,2(16),2,LQFP64,Cortex-M33
,GD32E505RCT6,180,256K,96K,up to 51,1,3,1,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,,,2(16),2,LQFP64,Cortex-M33
,GD32E505RET6,180,512K,128K,up to 51,1,9,2,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,,,2(16),2,LQFP64,Cortex-M33
,GD32E505VCT6,180,256K,96K,up to 80,1,3,1,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M33
,GD32E505VET6,180,512K,128K,up to 80,1,9,2,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M33
,GD32E505ZCT6,180,256K,96K,up to 112,1,3,2,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M33
,GD32E505ZET6,180,512K,128K,up to 112,1,9,2,2,1,2,1,3+3,3,3,3 x FD,HS OTG,2,,,1,1,3,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M33
